Line,Pedigree
09N2-51,2ND21867/TR05286
09N2-58,2ND24175/TR05285
09N2-60,2ND24175/TR05285
09N2-61,2ND24175/TR05285
09N2-62,2ND24175/TR05285
09N2-63,2ND24175/TR05285
09N2-64,2ND24175/TR05285
09N2-65,2ND24175/TR05285
09N2-66,2ND24175/TR05285
09N2-67,2ND24175/TR05285
09N2-68,2ND24175/TR05285
09N2-69,2ND24175/TR05285
09N2-72,2ND24266/TR05285
09N2-83,2ND24341/TR05286
09N2-84,2ND24383/TR05285
09N2-86,2ND24383/TR05285
09N2-90,2ND24383/TR05285
09N2-91,2ND24383/TR05285
09N2-93,2ND24383/TR05285
09N2-96,2ND24393/TR05285
09WA-10,WA 10429-00/WA 8569-99
09WA-30,WA 10701-99/AC Metcalfe
09WA-39,NZDK 55/Merit
2MS14_3301-001,06AB-32/08MT-79
2MS14_3301-016,06AB-32/08MT-79
2MS14_3301-021,06AB-32/08MT-79
2MS14_3302-011,06N2-31/07BA-94
2MS14_3302-026,06N2-31/07BA-94
2MS14_3304-022,07AB-55/08MT-11
2MS14_3305-002,07AB-56/09MT-92
2MS14_3306-007,07AB-80/08N2-20
2MS14_3306-013,07AB-80/08N2-20
2MS14_3306-017,07AB-80/08N2-20
2MS14_3307-008,07AB-93/07BA-94
2MS14_3308-020,07BA-94/08MT-11
2MS14_3308-025,07BA-94/08MT-11
2MS14_3309-029,07BA-94/08WA-20
2MS14_3310-009,07BA-94/09N2-31
2MS14_3310-012,07BA-94/09N2-31
2MS14_3310-017,07BA-94/09N2-31
2MS14_3310-018,07BA-94/09N2-31
2MS14_3310-019,07BA-94/09N2-31
2MS14_3312-012,08AB-09/08MT-79
2MS14_3312-020,08AB-09/08MT-79
2MS14_3314-015,08AB-34/09WA-39
2MS14_3315-005,08AB-48/07MT-10
2MS14_3315-015,08AB-48/07MT-10
2MS14_3316-005,08MT-36/06AB-32
2MS14_3316-020,08MT-36/06AB-32
2MS14_3317-006,08MT-73/09N2-29
2MS14_3317-014,08MT-73/09N2-29
2MS14_3317-016,08MT-73/09N2-29
2MS14_3317-018,08MT-73/09N2-29
2MS14_3317-025,08MT-73/09N2-29
2MS14_3318-006,08MT-79/08AB-34
2MS14_3324-018,08WA-04/09MT-75
2MS14_3328-025,09AB-25/08MT-36
2MS14_3335-007,09N2-29/09MT-92
2MS14_3336-002,09N2-31/07AB-51
2MS14_3336-016,09N2-31/07AB-51
2MS14_3337-013,09N2-31/07MT-10
2MS14_3340-004,09N2-67/08AB-34
2MS14_3340-013,09N2-67/08AB-34
2MS14_3340-022,09N2-67/08AB-34
2MS14_3340-025,09N2-67/08AB-34
2MS14_3342-004,09WA-39/07AB-51
2MS14_3342-009,09WA-39/07AB-51
2MS14_3342-010,09WA-39/07AB-51
2MS14_3342-013,09WA-39/07AB-51
2MS14_3342-018,09WA-39/07AB-51
2MS14_3342-022,09WA-39/07AB-51
2MS14_3345-013,06N2-31/07AB-51
2MS14_3346-002,09MT-92/07BA-94
